Pincode,active,
160015,0,"160015,"
160016,0,"160016,"
160017,0,"160017,"
160018,0,"160018,"
160019,0,"160019,"
160020,0,"160020,"
160022,0,"160022,"
160023,0,"160023,"
160025,0,"160025,"
160030,0,"160030,"
160036,0,"160036,"
160043,0,"160043,"
160047,0,"160047,"
160055,0,"160055,"
160059,0,"160059,"
160062,0,"160062,"
160071,0,"160071,"
160101,0,"160101,"
160102,0,"160102,"
160103,0,"160103,"
160104,0,"160104,"
171001,0,"171001,"
171002,0,"171002,"
171003,0,"171003,"
171004,0,"171004,"
171005,0,"171005,"
171006,0,"171006,"
171007,0,"171007,"
171008,0,"171008,"
171009,0,"171009,"
171010,0,"171010,"
171011,0,"171011,"
171012,0,"171012,"
171013,0,"171013,"
171014,0,"171014,"
171015,0,"171015,"
171018,0,"171018,"
171019,0,"171019,"
171102,0,"171102,"
171103,0,"171103,"
171201,0,"171201,"
171202,0,"171202,"
171203,0,"171203,"
171204,0,"171204,"
171205,0,"171205,"
171206,0,"171206,"
171207,0,"171207,"
171208,0,"171208,"
171209,0,"171209,"
171210,0,"171210,"
171211,0,"171211,"
171212,0,"171212,"
171213,0,"171213,"
171214,0,"171214,"
171215,0,"171215,"
171216,0,"171216,"
171217,0,"171217,"
171218,0,"171218,"
171219,0,"171219,"
171220,0,"171220,"
171221,0,"171221,"
171222,0,"171222,"
171223,0,"171223,"
171224,0,"171224,"
171225,0,"171225,"
171226,0,"171226,"
171301,0,"171301,"
172001,0,"172001,"
172002,0,"172002,"
172021,0,"172021,"
172022,0,"172022,"
172023,0,"172023,"
172024,0,"172024,"
172025,0,"172025,"
172026,0,"172026,"
172027,0,"172027,"
172028,0,"172028,"
172029,0,"172029,"
172030,0,"172030,"
172031,0,"172031,"
172032,0,"172032,"
172033,0,"172033,"
172034,0,"172034,"
172101,0,"172101,"
172102,0,"172102,"
172103,0,"172103,"
172104,0,"172104,"
172105,0,"172105,"
172106,0,"172106,"
172107,0,"172107,"
172108,0,"172108,"
172109,0,"172109,"
172110,0,"172110,"
172111,0,"172111,"
172112,0,"172112,"
172113,0,"172113,"
172114,0,"172114,"
172115,0,"172115,"
172116,0,"172116,"
172117,0,"172117,"
172118,0,"172118,"
172201,0,"172201,"
173001,0,"173001,"
173021,0,"173021,"
173022,0,"173022,"
173023,0,"173023,"
173024,0,"173024,"
173025,0,"173025,"
173026,0,"173026,"
173027,0,"173027,"
173029,0,"173029,"
173030,0,"173030,"
173031,0,"173031,"
173032,0,"173032,"
173101,0,"173101,"
173104,0,"173104,"
173201,0,"173201,"
173202,0,"173202,"
173204,0,"173204,"
173205,0,"173205,"
173206,0,"173206,"
173207,0,"173207,"
173208,0,"173208,"
173209,0,"173209,"
173210,0,"173210,"
173211,0,"173211,"
173212,0,"173212,"
173213,0,"173213,"
173214,0,"173214,"
173215,0,"173215,"
173217,0,"173217,"
173218,0,"173218,"
173220,0,"173220,"
173221,0,"173221,"
173222,0,"173222,"
173223,0,"173223,"
173225,0,"173225,"
173229,0,"173229,"
173230,0,"173230,"
173233,0,"173233,"
173234,0,"173234,"
173235,0,"173235,"
173236,0,"173236,"
174001,0,"174001,"
174002,0,"174002,"
174003,0,"174003,"
174004,0,"174004,"
174005,0,"174005,"
174011,0,"174011,"
174012,0,"174012,"
174013,0,"174013,"
174015,0,"174015,"
174017,0,"174017,"
174021,0,"174021,"
174023,0,"174023,"
174024,0,"174024,"
174026,0,"174026,"
174027,0,"174027,"
174028,0,"174028,"
174029,0,"174029,"
174030,0,"174030,"
174031,0,"174031,"
174032,0,"174032,"
174033,0,"174033,"
174034,0,"174034,"
174035,0,"174035,"
174036,0,"174036,"
174101,0,"174101,"
174102,0,"174102,"
174103,0,"174103,"
174201,0,"174201,"
174301,0,"174301,"
174302,0,"174302,"
174303,0,"174303,"
174304,0,"174304,"
174305,0,"174305,"
174306,0,"174306,"
174307,0,"174307,"
174308,0,"174308,"
174309,0,"174309,"
174310,0,"174310,"
174311,0,"174311,"
174312,0,"174312,"
174314,0,"174314,"
174315,0,"174315,"
174316,0,"174316,"
174317,0,"174317,"
174319,0,"174319,"
174320,0,"174320,"
174321,0,"174321,"
174405,0,"174405,"
174503,0,"174503,"
174505,0,"174505,"
174507,0,"174507,"
175001,0,"175001,"
175002,0,"175002,"
175003,0,"175003,"
175004,0,"175004,"
175005,0,"175005,"
175006,0,"175006,"
175007,0,"175007,"
175008,0,"175008,"
175009,0,"175009,"
175010,0,"175010,"
175011,0,"175011,"
175012,0,"175012,"
175013,0,"175013,"
175014,0,"175014,"
175015,0,"175015,"
175016,0,"175016,"
175017,0,"175017,"
175018,0,"175018,"
175019,0,"175019,"
175021,0,"175021,"
175023,0,"175023,"
175024,0,"175024,"
175025,0,"175025,"
175026,0,"175026,"
175027,0,"175027,"
175028,0,"175028,"
175029,0,"175029,"
175030,0,"175030,"
175031,0,"175031,"
175032,0,"175032,"
175033,0,"175033,"
175034,0,"175034,"
175035,0,"175035,"
175036,0,"175036,"
175037,0,"175037,"
175038,0,"175038,"
175039,0,"175039,"
175040,0,"175040,"
175042,0,"175042,"
175045,0,"175045,"
175046,0,"175046,"
175047,0,"175047,"
175048,0,"175048,"
175049,0,"175049,"
175050,0,"175050,"
175051,0,"175051,"
175052,0,"175052,"
175075,0,"175075,"
175101,0,"175101,"
175102,0,"175102,"
175103,0,"175103,"
175104,0,"175104,"
175105,0,"175105,"
175106,0,"175106,"
175121,0,"175121,"
175123,0,"175123,"
175124,0,"175124,"
175125,0,"175125,"
175126,0,"175126,"
175128,0,"175128,"
175129,0,"175129,"
175130,0,"175130,"
175131,0,"175131,"
175132,0,"175132,"
175133,0,"175133,"
175134,0,"175134,"
175136,0,"175136,"
175138,0,"175138,"
175139,0,"175139,"
175140,0,"175140,"
175141,0,"175141,"
175142,0,"175142,"
175143,0,"175143,"
176001,0,"176001,"
176002,0,"176002,"
176021,0,"176021,"
176022,0,"176022,"
176023,0,"176023,"
176025,0,"176025,"
176026,0,"176026,"
176027,0,"176027,"
176028,0,"176028,"
176029,0,"176029,"
176030,0,"176030,"
176031,0,"176031,"
176032,0,"176032,"
176033,0,"176033,"
176036,0,"176036,"
176037,0,"176037,"
176038,0,"176038,"
176039,0,"176039,"
176040,0,"176040,"
176041,0,"176041,"
176042,0,"176042,"
176043,0,"176043,"
176044,0,"176044,"
176045,0,"176045,"
176047,0,"176047,"
176048,0,"176048,"
176049,0,"176049,"
176051,0,"176051,"
176052,0,"176052,"
176053,0,"176053,"
176054,0,"176054,"
176055,0,"176055,"
176056,0,"176056,"
176057,0,"176057,"
176058,0,"176058,"
176059,0,"176059,"
176060,0,"176060,"
176061,0,"176061,"
176062,0,"176062,"
176063,0,"176063,"
176064,0,"176064,"
176065,0,"176065,"
176066,0,"176066,"
176067,0,"176067,"
176071,0,"176071,"
176073,0,"176073,"
176075,0,"176075,"
176076,0,"176076,"
176077,0,"176077,"
176081,0,"176081,"
176082,0,"176082,"
176083,0,"176083,"
176084,0,"176084,"
176085,0,"176085,"
